GrandPrix,Driver,DriverNumber,Car
Australia,Button,3,McLaren
Malaysia,Alonso,5,Ferrari
China,Rosberg,6,Mercedes
Bahrain,Vettel,1,Red Bull
Spain,Maldonado,18,Williams
Monaco,Webber,2,Red Bull
Canada,Hamilton,44,McLaren
Europe,Alonso,5,Ferrari
Great Britain,Webber,2,Red Bull
Germany,Alonso,5,Ferrari
Hungary,Hamilton,44,McLaren
Belgium,Button,3,McLaren
Italy,Hamilton,44,McLaren
Singapore,Vettel,1,Red Bull
Japan,Vettel,1,Red Bull
South Korea,Vettel,1,Red Bull
India,Vettel,1,Red Bull
Abu Dhabi,Raikkonen,7,Lotus
United States,Hamilton,44,McLaren
Brazil,Button,3,McLaren
