GrandPrix,Driver,DriverNumber,Car,Time
Australia,Ricciardo,3,Red Bull,88.997
Bahrain,Rosberg,6,Mercedes,94.482
China,Hulkenberg,27,Force India,99.824
Russia,Rosberg,6,Mercedes,99.094
Spain,Kvyat,26,Toro Rosso,86.948
Monaco,Hamilton,44,Mercedes,77.939
Canada,Rosberg,6,Mercedes,75.599
Europe,Rosberg,6,Mercedes,106.485
Austria,Hamilton,44,Mercedes,68.411
Great Britain,Rosberg,6,Mercedes,95.548
Hungary,Raikkonen,7,Ferrari,83.086
Germany,Ricciardo,3,Red Bull,78.442
Belgium,Hamilton,44,Mercedes,111.583
Italy,Alonso,14,McLaren,85.34
Singapore,Ricciardo,3,Red Bull,107.187
Malaysia,Rosberg,6,Mercedes,96.424
Japan,Vettel,5,Ferrari,95.118
United States,Vettel,5,Ferrari,99.877
Mexico,Ricciardo,3,Red Bull,81.134
Brazil,Verstappen,33,Red Bull,85.305
Abu Dhabi,Vettel,5,Ferrari,103.729
