GrandPrix,Driver,DriverNumber,Car
Australia,Bottas,77,Mercedes
Bahrain,Hamilton,44,Mercedes
China,Hamilton,44,Mercedes
Azerbaijan,Bottas,77,Mercedes
Spain,Hamilton,44,Mercedes
Monaco,Hamilton,44,Mercedes
Canada,Hamilton,44,Mercedes
France,Hamilton,44,Mercedes
Austria,Verstappen,33,Red Bull
Great Britain,Hamilton,44,Mercedes
Germany,Verstappen,33,Red Bull
Hungary,Hamilton,44,Mercedes
Belgium,Leclerc,16,Ferrari
Italy,Leclerc,16,Ferrari
Singapore,Vettel,5,Ferrari
Russia,Hamilton,44,Mercedes
Japan,Bottas,77,Mercedes
Mexico,Hamilton,44,Mercedes
United States,Bottas,77,Mercedes
Brazil,Verstappen,33,Red Bull
Abu Dhabi,Hamilton,44,Mercedes
