GrandPrix,Driver,DriverNumber,Car,Time
Australia,Button,3,McLaren,89.187
Malaysia,Raikkonen,9,Lotus,100.722
China,Kobayashi,14,Sauber,99.96
Bahrain,Vettel,1,Red Bull,96.379
Spain,Grosjean,10,Lotus,86.25
Monaco,Perez,15,Sauber,77.296
Canada,Vettel,1,Red Bull,75.752
Europe,Rosberg,8,Mercedes,102.163
Great Britain,Raikkonen,9,Lotus,94.661
Germany,Schumacher,7,Mercedes,78.725
Hungary,Vettel,1,Red Bull,84.136
Belgium,Senna,19,Williams,112.822
Italy,Rosberg,8,Mercedes,87.239
Singapore,Hulkenberg,12,Force India,111.033
Japan,Vettel,1,Red Bull,95.774
South Korea,Webber,2,Red Bull,102.037
India,Button,3,McLaren,88.203
Abu Dhabi,Vettel,1,Red Bull,103.964
United States,Vettel,1,Red Bull,99.347
Brazil,Hamilton,4,McLaren,78.069
