GrandPrix,Driver,DriverNumber,Car
Australia,Rosberg,6,Mercedes
Bahrain,Rosberg,6,Mercedes
China,Rosberg,6,Mercedes
Russia,Rosberg,6,Mercedes
Spain,Verstappen,33,Red Bull
Monaco,Hamilton,44,Mercedes
Canada,Hamilton,44,Mercedes
Europe,Roserg,6,Mercedes
Austria,Hamilton,44,Mercedes
Great Britain,Hamilton,44,Mercedes
Hungary,Hamilton,44,Mercedes
Germany,Hamilton,44,Mercedes
Belgium,Rosberg,6,Mercedes
Italy,Rosberg,6,Mercedes
Singapore,Rosberg,6,Mercedes
Malaysia,Ricciardo,3,Red Bull
Japan,Rosberg,6,Mercedes
United States,Hamilton,44,Mercedes
Mexico,Hamilton,44,Mercedes
Brazil,Hamilton,44,Mercedes
Abu Dhabi,Hamilton,44,Mercedes
