GrandPrix,Driver,DriverNumber,Car,Time
Australia,Bottas,77,Mercedes,85.58
Bahrain,Leclerc,16,Ferrari,93.411
China,Gasly,10,Red Bull,94.742
Azerbaijan,Leclerc,16,Ferrari,103.009
Spain,Hamilton,44,Mercedes,78.492
Monaco,Gasly,10,Red Bull,74.279
Canada,Bottas,77,Mercedes,73.078
France,Vettel,5,Ferrari,92.74
Austria,Verstappen,33,Red Bull,67.475
Great Britain,Hamilton,44,Mercedes,87.369
Germany,Verstappen,33,Red Bull,76.645
Hungary,Verstappen,33,Red Bull,77.103
Belgium,Vettel,5,Ferrari,106.409
Italy,Hamilton,44,Mercedes,81.779
Singapore,Magnussen,20,Haas,102.301
Russia,Hamilton,44,Mercedes,95.761
Japan,Hamilton,44,Mercedes,60.983
Mexico,Leclerc,16,Ferrari,79.232
United States,Leclerc,16,Ferrari,96.169
Brazil,Bottas,77,Mercedes,70.698
Abu Dhabi,Hamilton,44,Mercedes,99.283
